,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
15,0.3818,2018-04-09 19:11:51,0.0,0.88,0.12,15,"""He's asked the department of agriculture to protect our farmers and will present a plan on specifics of that short… https://t.co/dV8XxHwqP9",@CBSNews
16,0.296,2018-04-09 19:05:37,0.0,0.862,0.138,16,"""The point of view that matters most here at the White House, as you well know, is the president's,"" @PressSec says… https://t.co/YYwlKcrZpM",@CBSNews
17,-0.4588,2018-04-09 18:59:58,0.13,0.87,0.0,17,"""We're still there, and I think that it is outrageous to say that the president has green-lit actions that have tak… https://t.co/0gHMGtbcrF",@CBSNews
18,0.0,2018-04-09 18:56:04,0.0,1.0,0.0,18,"""I can only speak on behalf of this government. For questions on that, I would refer you outside. At this time, the… https://t.co/5mXmVK5agz",@CBSNews
19,-0.2263,2018-04-09 18:51:39,0.106,0.894,0.0,19,WATCH NOW: White House briefing underway as U.S. considers possible military retaliation over suspected chemical at… https://t.co/QYIafgxKtA,@CBSNews
20,0.4019,2018-04-09 18:50:41,0.0,0.886,0.114,20,The Giants added a special player to their roster on Sunday -- an 8-year-old girl named Hailey who threw out the fi… https://t.co/8sHveDxHpt,@CBSNews
21,0.0,2018-04-09 18:49:45,0.0,1.0,0.0,21,".@SenDuckworth gives birth to baby girl, becomes first U.S. senator to give birth while in office.… https://t.co/0ydTqqQao3",@CBSNews
22,0.0,2018-04-09 18:35:01,0.0,1.0,0.0,22,Arizona Gov. Doug Ducey says 225 National Guard members are heading to the Mexico border to back President Trump's… https://t.co/ye5BCOJ12L,@CBSNews
23,0.4019,2018-04-09 18:20:01,0.0,0.856,0.144,23,Lawyers representing President Donald Trump's family hotel business appealed to Panama's president for help days be… https://t.co/Y5AWfsMHMt,@CBSNews
24,0.0,2018-04-09 18:03:28,0.0,1.0,0.0,24,Fox News' Sean Hannity says he will address comments by ABC late-night comic Jimmy Kimmel on his show Monday night… https://t.co/lgp4llLFPb,@CBSNews
25,-0.4019,2018-04-09 17:45:02,0.197,0.803,0.0,25,"Hockey player's body misidentified in bus crash, Canadian officials say https://t.co/rVRHxEiaXV https://t.co/fhUKF4Iwzw",@CBSNews
